Number of static obstacles,Number of dynamic obstacles,Minimum distance from obstacle,Average distance between obstacles,Largest free angle,Area,Run number,Robot position,Obs pos,Dyn obs pos,Is stuck
25,0,0,0,0,B to C,0,"(22, 32)","[(17, 32), (18, 29), (18, 30), (18, 31), (18, 32), (18, 33), (18, 34), (19, 29), (19, 30), (19, 31), (19, 32), (19, 33), (19, 34), (20, 29), (20, 30), (20, 31), (20, 32), (20, 33), (20, 34), (21, 29), (21, 30), (21, 31), (21, 32), (21, 33), (21, 34)]",[],TRUE
24,0,0,0,0,B to C,0,"(22, 33)","[(17, 33), (18, 30), (18, 31), (18, 32), (18, 33), (18, 34), (19, 29), (19, 30), (19, 31), (19, 32), (19, 33), (19, 34), (20, 29), (20, 30), (20, 31), (20, 32), (20, 33), (20, 34), (21, 29), (21, 30), (21, 31), (21, 32), (21, 33), (21, 34)]",[],TRUE
20,0,0,0,0,B to C,0,"(22, 34)","[(17, 34), (18, 31), (18, 32), (18, 33), (18, 34), (19, 30), (19, 31), (19, 32), (19, 33), (19, 34), (20, 30), (20, 31), (20, 32), (20, 33), (20, 34), (21, 30), (21, 31), (21, 32), (21, 33), (21, 34)]",[],TRUE
20,0,0,0,0,B to C,0,"(21, 35)","[(17, 32), (17, 33), (17, 34), (18, 31), (18, 32), (18, 33), (18, 34), (19, 31), (19, 32), (19, 33), (19, 34), (20, 31), (20, 32), (20, 33), (20, 34), (21, 30), (21, 31), (21, 32), (21, 33), (21, 34)]",[],TRUE
18,0,0,0,0,B to C,0,"(20, 36)","[(16, 33), (16, 34), (17, 32), (17, 33), (17, 34), (18, 32), (18, 33), (18, 34), (19, 32), (19, 33), (19, 34), (20, 31), (20, 32), (20, 33), (20, 34), (21, 32), (21, 33), (21, 34)]",[],TRUE
12,0,0,0,0,B to C,0,"(20, 37)","[(16, 34), (17, 33), (17, 34), (18, 33), (18, 34), (19, 33), (19, 34), (20, 32), (20, 33), (20, 34), (21, 33), (21, 34)]",[],TRUE
6,0,0,0,0,B to C,0,"(20, 38)","[(17, 34), (18, 34), (19, 34), (20, 33), (20, 34), (21, 34)]",[],TRUE
1,0,0,0,0,B to C,0,"(20, 39)","[(20, 34)]",[],TRUE
0,0,0,0,0,B to C,0,"(20, 40)",[],[],TRUE
1,0,0,0,0,B to C,0,"(19, 41)","[(14, 41)]",[],TRUE
7,0,0,0,0,B to C,0,"(18, 42)","[(13, 42), (14, 39), (14, 40), (14, 41), (14, 42), (14, 43), (14, 44)]",[],TRUE
12,0,0,0,0,B to C,0,"(17, 43)","[(12, 43), (13, 40), (13, 41), (13, 42), (13, 43), (13, 44), (14, 39), (14, 40), (14, 41), (14, 42), (14, 43), (14, 44)]",[],TRUE
10,0,0,0,0,B to C,0,"(17, 44)","[(12, 44), (13, 41), (13, 42), (13, 43), (13, 44), (14, 40), (14, 41), (14, 42), (14, 43), (14, 44)]",[],TRUE
7,0,0,0,0,C to B,0,"(17, 45)","[(13, 42), (13, 43), (13, 44), (14, 41), (14, 42), (14, 43), (14, 44)]",[],TRUE
5,0,0,0,0,C to B,0,"(18, 44)","[(13, 44), (14, 41), (14, 42), (14, 43), (14, 44)]",[],TRUE
1,0,0,0,0,C to B,0,"(19, 43)","[(14, 43)]",[],TRUE
0,0,0,0,0,C to B,0,"(20, 42)",[],[],TRUE
0,0,0,0,0,C to B,0,"(21, 41)",[],[],TRUE
2,0,0,0,0,C to B,0,"(22, 40)","[(26, 42), (26, 43)]",[],TRUE
4,0,0,0,0,C to B,0,"(23, 39)","[(26, 42), (26, 43), (27, 42), (28, 39)]",[],TRUE
9,0,0,0,0,C to B,0,"(24, 38)","[(21, 34), (26, 42), (27, 42), (28, 36), (28, 37), (28, 38), (28, 39), (28, 40), (28, 41)]",[],TRUE
7,0,0,0,0,C to B,0,"(25, 37)","[(21, 34), (28, 36), (28, 37), (28, 38), (28, 39), (28, 40), (28, 41)]",[],TRUE
5,0,0,0,0,C to B,0,"(26, 36)","[(28, 36), (28, 37), (28, 38), (28, 39), (28, 40)]",[],TRUE
4,0,0,0,0,C to B,0,"(27, 35)","[(28, 36), (28, 37), (28, 38), (28, 39)]",[],TRUE
4,0,0,0,0,C to B,0,"(28, 34)","[(28, 36), (28, 37), (28, 38), (28, 39)]",[],TRUE
2,1,0,0,0,C to B,0,"(29, 33)","[(28, 36), (28, 37)]","[(33, 30)]",TRUE
1,1,4.123105626,0,0,C to B,0,"(29, 32)","[(28, 36)]","[(33, 31)]",TRUE
0,2,4,4.123105626,306.8698976,C to B,0,"(29, 31)",[],"[(32, 27), (33, 31)]",TRUE
0,2,4.472135955,6.08276253,280.3048465,C to B,0,"(29, 30)",[],"[(32, 26), (33, 32)]",TRUE
1,2,4.242640687,6.08276253,278.1301024,C to B,0,"(29, 29)","[(28, 25)]","[(32, 26), (33, 32)]",TRUE
2,1,4.242640687,0,0,C to B,0,"(29, 28)","[(28, 24), (28, 25)]","[(32, 25)]",TRUE
5,1,3.605551275,0,0,C to B,0,"(29, 27)","[(26, 23), (27, 23), (28, 23), (28, 24), (28, 25)]","[(32, 25)]",TRUE
9,1,3.605551275,0,0,C to B,0,"(29, 26)","[(25, 23), (26, 22), (26, 23), (27, 22), (27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]","[(32, 24)]",TRUE
13,2,3.16227766,2.236067977,341.5650512,C to B,0,"(29, 25)","[(25, 22), (25, 23), (26, 21), (26, 22), (26, 23), (27, 21), (27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(32, 24), (34, 25)]",TRUE
13,3,2.236067977,2.132781879,26.56505118,C to B,0,"(30, 24)","[(26, 21), (26, 22), (26, 23), (27, 20), (27, 21), (27, 22), (27, 23), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(32, 23), (34, 24), (35, 24)]",TRUE
12,5,1,2.286118638,14.03624347,C to B,0,"(31, 23)","[(26, 23), (27, 20), (27, 21), (27, 22), (27, 23), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(32, 23), (34, 24), (35, 22), (35, 24), (36, 23)]",FALSE
