Number of static obstacles,Number of dynamic obstacles,Minimum distance from obstacle,Average distance between obstacles,Largest free angle,Area,Run number,Robot position,Obs pos,Dyn obs pos,Is stuck
2,0,0,0,0,C to B,0,"(29, 28)","[(28, 24), (28, 25)]",[],TRUE
3,0,0,0,0,C to B,0,"(29, 27)","[(28, 23), (28, 24), (28, 25)]",[],TRUE
4,0,0,0,0,C to B,0,"(29, 26)","[(28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,C to B,0,"(29, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
6,0,0,0,0,C to B,0,"(30, 24)","[(28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,C to B,0,"(31, 23)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,C to B,0,"(32, 22)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,C to B,0,"(32, 21)","[(28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24)]",[],TRUE
7,0,0,0,0,C to B,0,"(32, 20)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]",[],TRUE
7,0,0,0,0,B to A,0,"(32, 19)","[(28, 16), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22)]",[],TRUE
7,0,0,0,0,B to A,0,"(32, 20)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]",[],TRUE
9,0,0,0,0,B to A,0,"(31, 21)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
8,0,0,0,0,B to A,0,"(30, 22)","[(28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,B to A,0,"(29, 23)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
6,0,0,0,0,B to A,0,"(29, 24)","[(28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,B to A,0,"(29, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,B to A,0,"(28, 26)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,B to A,0,"(27, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
6,0,0,0,0,B to A,0,"(26, 24)","[(28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,B to A,0,"(25, 23)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,B to A,0,"(24, 22)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
1,0,0,0,0,B to A,0,"(23, 21)","[(28, 21)]",[],TRUE
0,0,0,0,0,B to A,0,"(22, 20)",[],[],TRUE
0,0,0,0,0,B to A,0,"(21, 19)",[],[],TRUE
0,0,0,0,0,B to A,0,"(20, 18)",[],[],TRUE
0,0,0,0,0,B to A,0,"(19, 17)",[],[],TRUE
0,0,0,0,0,B to A,0,"(18, 16)",[],[],TRUE
1,0,0,0,0,B to A,0,"(17, 15)","[(17, 10)]",[],TRUE
1,0,0,0,0,B to A,0,"(16, 15)","[(16, 10)]",[],TRUE
1,0,0,0,0,A to B,1,"(15, 15)","[(15, 10)]",[],TRUE
0,0,0,0,0,A to B,1,"(16, 16)",[],[],TRUE
0,0,0,0,0,A to B,1,"(17, 17)",[],[],TRUE
0,0,0,0,0,A to B,1,"(18, 18)",[],[],TRUE
0,0,0,0,0,A to B,1,"(19, 19)",[],[],TRUE
0,0,0,0,0,A to B,1,"(20, 20)",[],[],TRUE
0,0,0,0,0,A to B,1,"(21, 21)",[],[],TRUE
0,0,0,0,0,A to B,1,"(22, 22)",[],[],TRUE
1,0,0,0,0,A to B,1,"(23, 23)","[(28, 23)]",[],TRUE
5,0,0,0,0,A to B,1,"(24, 24)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,A to B,1,"(25, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
4,0,0,0,0,A to B,1,"(26, 26)","[(28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
4,0,0,0,0,A to B,1,"(27, 26)","[(28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,A to B,1,"(28, 26)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
