Number of static obstacles,Number of dynamic obstacles,Minimum distance from obstacle,Average distance between obstacles,Largest free angle,Area,Run number,Robot position,Obs pos,Dyn obs pos,Is stuck
5,0,0,0,0,A to B,1,"(29, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
6,0,0,0,0,A to B,1,"(30, 24)","[(28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,1,"(31, 23)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,1,"(32, 22)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,1,"(32, 21)","[(28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24)]",[],TRUE
7,0,0,0,0,A to B,1,"(32, 20)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]",[],TRUE
7,0,0,0,0,B to C,1,"(32, 19)","[(28, 16), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22)]",[],TRUE
7,0,0,0,0,B to C,1,"(32, 20)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]",[],TRUE
9,0,0,0,0,B to C,1,"(31, 21)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
8,0,0,0,0,B to C,1,"(30, 22)","[(28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,B to C,1,"(29, 23)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
6,0,0,0,0,B to C,1,"(29, 24)","[(28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,B to C,1,"(29, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,B to C,1,"(28, 26)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
3,0,0,0,0,B to C,1,"(27, 27)","[(28, 23), (28, 24), (28, 25)]",[],TRUE
2,0,0,0,0,B to C,1,"(26, 28)","[(28, 24), (28, 25)]",[],TRUE
1,0,0,0,0,B to C,1,"(25, 29)","[(28, 25)]",[],TRUE
0,0,0,0,0,B to C,1,"(24, 30)",[],[],TRUE
0,0,0,0,0,B to C,1,"(23, 31)",[],[],TRUE
0,0,0,0,0,B to C,1,"(22, 32)",[],[],TRUE
0,0,0,0,0,B to C,1,"(21, 33)",[],[],TRUE
0,0,0,0,0,B to C,1,"(20, 34)",[],[],TRUE
0,0,0,0,0,B to C,1,"(20, 35)",[],[],TRUE
0,0,0,0,0,B to C,1,"(20, 36)",[],[],TRUE
0,0,0,0,0,B to C,1,"(20, 37)",[],[],TRUE
0,0,0,0,0,B to C,1,"(20, 38)",[],[],TRUE
0,0,0,0,0,B to C,1,"(20, 39)",[],[],TRUE
0,0,0,0,0,B to C,1,"(20, 40)",[],[],TRUE
0,0,0,0,0,B to C,1,"(19, 41)",[],[],TRUE
0,0,0,0,0,B to C,1,"(18, 42)",[],[],TRUE
0,0,0,0,0,B to C,1,"(17, 43)",[],[],TRUE
0,0,0,0,0,B to C,1,"(17, 44)",[],[],TRUE
0,0,0,0,0,C to B,1,"(17, 45)",[],[],TRUE
0,0,0,0,0,C to B,1,"(18, 44)",[],[],TRUE
0,0,0,0,0,C to B,1,"(19, 43)",[],[],TRUE
0,0,0,0,0,C to B,1,"(20, 42)",[],[],TRUE
0,0,0,0,0,C to B,1,"(21, 41)",[],[],TRUE
2,0,0,0,0,C to B,1,"(22, 40)","[(26, 42), (26, 43)]",[],TRUE
4,0,0,0,0,C to B,1,"(23, 39)","[(26, 42), (26, 43), (27, 42), (28, 39)]",[],TRUE
8,0,0,0,0,C to B,1,"(24, 38)","[(26, 42), (27, 42), (28, 36), (28, 37), (28, 38), (28, 39), (28, 40), (28, 41)]",[],TRUE
6,0,0,0,0,C to B,1,"(25, 37)","[(28, 36), (28, 37), (28, 38), (28, 39), (28, 40), (28, 41)]",[],TRUE
5,0,0,0,0,C to B,1,"(26, 36)","[(28, 36), (28, 37), (28, 38), (28, 39), (28, 40)]",[],TRUE
4,0,0,0,0,C to B,1,"(27, 35)","[(28, 36), (28, 37), (28, 38), (28, 39)]",[],TRUE
4,0,0,0,0,C to B,1,"(28, 34)","[(28, 36), (28, 37), (28, 38), (28, 39)]",[],TRUE
2,0,0,0,0,C to B,1,"(29, 33)","[(28, 36), (28, 37)]",[],TRUE
1,0,0,0,0,C to B,1,"(29, 32)","[(28, 36)]",[],TRUE
0,0,0,0,0,C to B,1,"(29, 31)",[],[],TRUE
0,0,0,0,0,C to B,1,"(29, 30)",[],[],TRUE
1,0,0,0,0,C to B,1,"(29, 29)","[(28, 25)]",[],TRUE
2,0,0,0,0,C to B,1,"(29, 28)","[(28, 24), (28, 25)]",[],TRUE
3,0,0,0,0,C to B,1,"(29, 27)","[(28, 23), (28, 24), (28, 25)]",[],TRUE
4,0,0,0,0,C to B,1,"(29, 26)","[(28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,C to B,1,"(29, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
6,0,0,0,0,C to B,1,"(30, 24)","[(28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,C to B,1,"(31, 23)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,C to B,1,"(32, 22)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,C to B,1,"(32, 21)","[(28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24)]",[],TRUE
7,0,0,0,0,C to B,1,"(32, 20)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]",[],TRUE
7,0,0,0,0,B to A,1,"(32, 19)","[(28, 16), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22)]",[],TRUE
7,0,0,0,0,B to A,1,"(32, 20)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]",[],TRUE
9,0,0,0,0,B to A,1,"(31, 21)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
8,0,0,0,0,B to A,1,"(30, 22)","[(28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,B to A,1,"(29, 23)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
6,0,0,0,0,B to A,1,"(29, 24)","[(28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,B to A,1,"(29, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,B to A,1,"(28, 26)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,B to A,1,"(27, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
6,0,0,0,0,B to A,1,"(26, 24)","[(28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,B to A,1,"(25, 23)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,B to A,1,"(24, 22)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
1,0,0,0,0,B to A,1,"(23, 21)","[(28, 21)]",[],TRUE
0,0,0,0,0,B to A,1,"(22, 20)",[],[],TRUE
0,0,0,0,0,B to A,1,"(21, 19)",[],[],TRUE
0,0,0,0,0,B to A,1,"(20, 18)",[],[],TRUE
0,0,0,0,0,B to A,1,"(19, 17)",[],[],TRUE
0,0,0,0,0,B to A,1,"(18, 16)",[],[],TRUE
1,0,0,0,0,B to A,1,"(17, 15)","[(17, 10)]",[],TRUE
1,0,0,0,0,B to A,1,"(16, 15)","[(16, 10)]",[],TRUE
1,0,0,0,0,A to B,2,"(15, 15)","[(15, 10)]",[],TRUE
0,0,0,0,0,A to B,2,"(16, 16)",[],[],TRUE
0,0,0,0,0,A to B,2,"(17, 17)",[],[],TRUE
0,0,0,0,0,A to B,2,"(18, 18)",[],[],TRUE
0,0,0,0,0,A to B,2,"(19, 19)",[],[],TRUE
0,0,0,0,0,A to B,2,"(20, 20)",[],[],TRUE
0,0,0,0,0,A to B,2,"(21, 21)",[],[],TRUE
0,0,0,0,0,A to B,2,"(22, 22)",[],[],TRUE
1,0,0,0,0,A to B,2,"(23, 23)","[(28, 23)]",[],TRUE
5,0,0,0,0,A to B,2,"(24, 24)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,A to B,2,"(25, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
4,0,0,0,0,A to B,2,"(26, 26)","[(28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
4,0,0,0,0,A to B,2,"(27, 26)","[(28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,A to B,2,"(28, 26)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,A to B,2,"(29, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
6,0,0,0,0,A to B,2,"(30, 24)","[(28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,2,"(31, 23)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,2,"(32, 22)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,2,"(32, 21)","[(28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24)]",[],TRUE
7,0,0,0,0,A to B,2,"(32, 20)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]",[],TRUE
7,0,0,0,0,B to C,2,"(32, 19)","[(28, 16), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22)]",[],TRUE
7,0,0,0,0,B to C,2,"(32, 20)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]",[],TRUE
9,0,0,0,0,B to C,2,"(31, 21)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
8,0,0,0,0,B to C,2,"(30, 22)","[(28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,B to C,2,"(29, 23)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
6,0,0,0,0,B to C,2,"(29, 24)","[(28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,B to C,2,"(29, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,B to C,2,"(28, 26)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
3,0,0,0,0,B to C,2,"(27, 27)","[(28, 23), (28, 24), (28, 25)]",[],TRUE
2,0,0,0,0,B to C,2,"(26, 28)","[(28, 24), (28, 25)]",[],TRUE
1,0,0,0,0,B to C,2,"(25, 29)","[(28, 25)]",[],TRUE
0,0,0,0,0,B to C,2,"(24, 30)",[],[],TRUE
0,0,0,0,0,B to C,2,"(23, 31)",[],[],TRUE
0,0,0,0,0,B to C,2,"(22, 32)",[],[],TRUE
0,0,0,0,0,B to C,2,"(21, 33)",[],[],TRUE
0,0,0,0,0,B to C,2,"(20, 34)",[],[],TRUE
0,0,0,0,0,B to C,2,"(20, 35)",[],[],TRUE
0,0,0,0,0,B to C,2,"(20, 36)",[],[],TRUE
0,0,0,0,0,B to C,2,"(20, 37)",[],[],TRUE
0,0,0,0,0,B to C,2,"(20, 38)",[],[],TRUE
0,0,0,0,0,B to C,2,"(20, 39)",[],[],TRUE
0,0,0,0,0,B to C,2,"(20, 40)",[],[],TRUE
0,0,0,0,0,B to C,2,"(19, 41)",[],[],TRUE
0,0,0,0,0,B to C,2,"(18, 42)",[],[],TRUE
0,0,0,0,0,B to C,2,"(17, 43)",[],[],TRUE
0,0,0,0,0,B to C,2,"(17, 44)",[],[],TRUE
0,0,0,0,0,C to B,2,"(17, 45)",[],[],TRUE
0,0,0,0,0,C to B,2,"(18, 44)",[],[],TRUE
0,0,0,0,0,C to B,2,"(19, 43)",[],[],TRUE
0,0,0,0,0,C to B,2,"(20, 42)",[],[],TRUE
0,0,0,0,0,C to B,2,"(21, 41)",[],[],TRUE
2,0,0,0,0,C to B,2,"(22, 40)","[(26, 42), (26, 43)]",[],TRUE
4,0,0,0,0,C to B,2,"(23, 39)","[(26, 42), (26, 43), (27, 42), (28, 39)]",[],TRUE
8,0,0,0,0,C to B,2,"(24, 38)","[(26, 42), (27, 42), (28, 36), (28, 37), (28, 38), (28, 39), (28, 40), (28, 41)]",[],TRUE
6,0,0,0,0,C to B,2,"(25, 37)","[(28, 36), (28, 37), (28, 38), (28, 39), (28, 40), (28, 41)]",[],TRUE
5,0,0,0,0,C to B,2,"(26, 36)","[(28, 36), (28, 37), (28, 38), (28, 39), (28, 40)]",[],TRUE
4,0,0,0,0,C to B,2,"(27, 35)","[(28, 36), (28, 37), (28, 38), (28, 39)]",[],TRUE
4,0,0,0,0,C to B,2,"(28, 34)","[(28, 36), (28, 37), (28, 38), (28, 39)]",[],TRUE
2,0,0,0,0,C to B,2,"(29, 33)","[(28, 36), (28, 37)]",[],TRUE
1,0,0,0,0,C to B,2,"(29, 32)","[(28, 36)]",[],TRUE
0,0,0,0,0,C to B,2,"(29, 31)",[],[],TRUE
0,0,0,0,0,C to B,2,"(29, 30)",[],[],TRUE
1,0,0,0,0,C to B,2,"(29, 29)","[(28, 25)]",[],TRUE
2,0,0,0,0,C to B,2,"(29, 28)","[(28, 24), (28, 25)]",[],TRUE
3,0,0,0,0,C to B,2,"(29, 27)","[(28, 23), (28, 24), (28, 25)]",[],TRUE
4,0,0,0,0,C to B,2,"(29, 26)","[(28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,C to B,2,"(29, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
6,0,0,0,0,C to B,2,"(30, 24)","[(28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,C to B,2,"(31, 23)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,1,0,0,0,C to B,2,"(32, 22)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(29, 18)]",TRUE
7,1,4.242640687,0,0,C to B,2,"(32, 21)","[(28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24)]","[(29, 18)]",TRUE
7,1,3.16227766,0,0,C to B,2,"(32, 20)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(29, 19)]",TRUE
7,1,3,0,0,B to A,2,"(32, 19)","[(28, 16), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22)]","[(29, 19)]",TRUE
7,1,3,0,0,B to A,2,"(32, 20)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(29, 20)]",TRUE
9,1,2.236067977,0,0,B to A,2,"(31, 21)","[(28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(29, 20)]",TRUE
